article_title,revision_Id,article_quality,country,region,population
Miguel Ángel Fernández-Palacios,1101094299,Start,Spain,SOUTHERN EUROPE,47.4
"Fernando Gómez (footballer, born 1965)",1098126018,C,Spain,SOUTHERN EUROPE,47.4
Antonio Flores de Lemus,1069012803,Start,Spain,SOUTHERN EUROPE,47.4
Josep Fornas,1100828052,Stub,Spain,SOUTHERN EUROPE,47.4
Chato Galante,1110515122,Stub,Spain,SOUTHERN EUROPE,47.4
Guillermo Galeote,1099982046,Stub,Spain,SOUTHERN EUROPE,47.4
Mar Garcia,1069863344,C,Spain,SOUTHERN EUROPE,47.4
Álvaro Gil-Robles,1068958543,Start,Spain,SOUTHERN EUROPE,47.4
Magda Godia,1101223631,Start,Spain,SOUTHERN EUROPE,47.4
Juan Carlos Guerra Zunzunegui,1104380457,Stub,Spain,SOUTHERN EUROPE,47.4
"Gaspar Méndez de Haro, 7th Marquis of Carpio",1019104410,C,Spain,SOUTHERN EUROPE,47.4
"Pedro Henriquez de Acevedo, Count of Fuentes",1103929563,Start,Spain,SOUTHERN EUROPE,47.4
Pedro de Herrera,1059696308,Stub,Spain,SOUTHERN EUROPE,47.4
Eleazar Huerta Valcárcel,1069026111,Stub,Spain,SOUTHERN EUROPE,47.4
Javier Imbroda,1109934881,Stub,Spain,SOUTHERN EUROPE,47.4
Blas Infante,1090235807,Start,Spain,SOUTHERN EUROPE,47.4
Erasmo Janer Gironella,1107107927,FA,Spain,SOUTHERN EUROPE,47.4
Manuel Jiménez de Parga,1096109133,Stub,Spain,SOUTHERN EUROPE,47.4
Joaquín Jiménez Hidalgo,1100828477,Stub,Spain,SOUTHERN EUROPE,47.4
Alejandro Lamalfa,1098665055,Stub,Spain,SOUTHERN EUROPE,47.4
Ignacio Hernando de Larramendi y Montiano,1109395465,FA,Spain,SOUTHERN EUROPE,47.4
Bernardino León,1080860368,C,Spain,SOUTHERN EUROPE,47.4
Hernando de Lerma,1096116275,Start,Spain,SOUTHERN EUROPE,47.4
José Pascual de Liñán y Eguizábal,1111270449,FA,Spain,SOUTHERN EUROPE,47.4
José Luis Liso,1099829902,Stub,Spain,SOUTHERN EUROPE,47.4
José María Llanos,1114408218,Stub,Spain,SOUTHERN EUROPE,47.4
Carmen Llorca,1084910372,Stub,Spain,SOUTHERN EUROPE,47.4
Pero López de Ayala,1096106599,Start,Spain,SOUTHERN EUROPE,47.4
Álvaro de Luna,1096639628,C,Spain,SOUTHERN EUROPE,47.4
"Juan Manuel Fernández Pacheco, 8th Duke of Escalona",1043098967,Start,Spain,SOUTHERN EUROPE,47.4
Xabier Markiegi,1113721723,Stub,Spain,SOUTHERN EUROPE,47.4
Manuel Marliani,1062865219,Stub,Italy,SOUTHERN EUROPE,58.9
Manuel Marliani,1062865219,Stub,Spain,SOUTHERN EUROPE,47.4
Marquis of Amboage,1086094474,Stub,Spain,SOUTHERN EUROPE,47.4
Ignacio Martín Amaro,1103971165,Stub,Spain,SOUTHERN EUROPE,47.4
Luis Méndez de Haro,1103527874,Start,Spain,SOUTHERN EUROPE,47.4
Bernardino de Mendoza,1114691610,Start,Spain,SOUTHERN EUROPE,47.4
Marcelino Menéndez y Pelayo,1096446601,C,Spain,SOUTHERN EUROPE,47.4
Gabriel Milan,1065174231,B,Spain,SOUTHERN EUROPE,47.4
Luis Minguela,1110850781,Start,Spain,SOUTHERN EUROPE,47.4
Salvador Minguijón Adrián,1113473296,FA,Spain,SOUTHERN EUROPE,47.4
Pep Mòdol,1104404965,Stub,Spain,SOUTHERN EUROPE,47.4
Rafael Montoro,1107203065,Stub,Cuba,CARIBBEAN,11.1
Rafael Montoro,1107203065,Stub,Spain,SOUTHERN EUROPE,47.4
Guillermo Morphy,1066444598,C,Spain,SOUTHERN EUROPE,47.4
Pere Navarro Olivella,1084603008,Start,Spain,SOUTHERN EUROPE,47.4
Juan Everardo Nithard,1103547500,Start,Spain,SOUTHERN EUROPE,47.4
Pablo de Olavide,1112996673,Start,Spain,SOUTHERN EUROPE,47.4
José María de Orbe y Gaytán,1111269697,FA,Spain,SOUTHERN EUROPE,47.4
Álvaro d'Ors Pérez-Peix,1106358929,FA,Spain,SOUTHERN EUROPE,47.4
Félix Ortega Fernández,1083313299,Stub,Spain,SOUTHERN EUROPE,47.4
Román Oyarzun Oyarzun,1112985729,FA,Spain,SOUTHERN EUROPE,47.4
Juan Pacheco,1050728168,C,Spain,SOUTHERN EUROPE,47.4
Berenguer de Palou II,1059003082,Start,Spain,SOUTHERN EUROPE,47.4
Javier María Pascual Ibañez,1088789363,FA,Spain,SOUTHERN EUROPE,47.4
Pedro Antonio de Aragón,1093371088,Start,Spain,SOUTHERN EUROPE,47.4
José Pellicer Gandía,1112951182,Stub,Spain,SOUTHERN EUROPE,47.4
Juan Manuel de la Peña Bonifaz,1110216579,Start,Spain,SOUTHERN EUROPE,47.4
Antonio Pérez (statesman),1112055320,B,Spain,SOUTHERN EUROPE,47.4
Antonio Victor Pildáin y Zapiáin,1115030339,Stub,Spain,SOUTHERN EUROPE,47.4
